,Valor,Hora
count,6266.0,6266.0
mean,7.818442547079477,11.410469198850942
std,5.587017705176851,6.881023713493456
min,0.0,0.0
25%,3.6805,5.0
50%,6.489,11.0
75%,10.84975,17.0
max,24.91,23.0
