,Valor
count,6812.0
mean,0.14010378743394009
std,0.184955198447419
min,0.0
25%,0.0
50%,0.1
75%,0.2
max,0.748
trend,increasing
h,True
p,0.0
z,9.476393079774432
Tau,0.0732921158848683
s,1700250.0
var_s,32191330164.0
slope,0.0
intercept,0.1
