,Valor
count,7160.0
mean,3.47799343575419
std,1.4751073431428754
min,0.0
25%,2.185
50%,3.68
75%,4.482
max,8.006
trend,increasing
h,True
p,5.876297226592442e-10
z,6.193713582104628
Tau,0.04881010814999442
s,1250965.0
var_s,40793163601.0
slope,6.173469387755101e-05
intercept,3.4590206632653064
