Mes,count,mean,std,min,25%,50%,75%,max
1,402.0,6.542512437810946,5.217098206556246,0.086,2.7529999999999997,4.886,8.708499999999999,24.135
2,654.0,5.791099388379204,4.39034632835603,0.169,2.85525,4.74,7.31625,24.405
3,631.0,7.752838351822504,5.572632302332803,0.142,3.7085,6.261,10.5515,24.812
4,118.0,7.659889830508474,5.354918219880217,0.24,3.38225,7.0169999999999995,10.77225,23.681
5,616.0,7.501246753246753,6.178066775596495,0.0,2.247,6.1555,11.63125,24.769
6,643.0,9.057620528771386,6.028184118925461,0.0,4.091,8.087,12.6945,24.855
7,698.0,7.081664756446992,5.421038804604056,0.058,2.74325,5.439500000000001,10.041,24.804
8,645.0,7.274767441860465,4.967828178307576,0.294,3.606,5.678,9.875,24.822
9,510.0,7.711760784313725,5.473315678483866,0.0,3.77325,6.257,10.703,24.369
10,565.0,8.878415929203541,4.871528076861153,0.0,5.698,8.066,11.288,24.102
11,466.0,8.84761373390558,3.9004288709524446,0.0,6.072,7.869,10.62275,24.865
12,318.0,11.398264150943398,7.958226628587553,0.0,4.8555,11.599,18.9115,24.91
