Mes,count,mean,std,min,25%,50%,75%,max
1,385.0,3.055007792207792,2.562650361938454,0.0,1.122,2.435,4.291,22.415
2,662.0,2.9614697885196373,2.422184487757255,0.0,1.14775,2.407,4.15825,17.291
3,656.0,4.496016768292683,3.6004192336078953,0.0,1.6975,3.724,6.0015,21.232
4,120.0,4.8101666666666665,3.2804748665612506,0.042,2.16675,4.7935,6.60675,15.53
5,670.0,11.243880597014925,5.593604867322197,0.0,8.9,13.0,15.0,21.9
6,696.0,15.817097701149427,4.217576537813067,8.9,12.0,15.0,18.6,24.8
7,744.0,12.336155913978493,3.3551265299815003,5.8,9.7,12.2,13.7,20.5
8,744.0,10.97486559139785,3.5435532779770025,3.4,8.6,10.2,12.0,19.7
9,553.0,11.911573236889692,3.5170150416298416,2.7,9.1,11.8,13.3,20.6
10,517.0,8.34081237911025,3.199342489015048,0.1,6.2,7.6,9.3,24.7
11,494.0,7.7234817813765195,3.8627643601047947,0.9,5.6,6.9,9.2,22.3
12,432.0,9.171296296296296,8.856646942689839,0.0,1.1,5.9,19.7,24.6
