Mes,count,mean,std,min,25%,50%,75%,max
1,319.0,0.04883385579937304,0.0903486989593072,0.0,0.0,0.001,0.064,0.641
2,498.0,0.1156686746987952,0.16115883370369435,0.0,0.0,0.035500000000000004,0.17775,0.648
3,530.0,0.09927358490566038,0.15516351110986368,0.0,0.0,0.0085,0.13225,0.657
4,99.0,0.1653131313131313,0.18328051693247052,0.0,0.0035,0.104,0.242,0.659
5,590.0,0.16186610169491525,0.18646598265090036,0.0,0.00625,0.08,0.2775,0.665
6,583.0,0.194631217838765,0.20380403679889325,0.0,0.0125,0.114,0.3485,0.665
7,665.0,0.1230872180451128,0.18147003030701403,0.0,0.0,0.015,0.191,0.664
8,665.0,0.053563909774436085,0.11530777002467846,0.0,0.0,0.0,0.05,0.647
9,619.0,0.0796817447495961,0.14956689525051903,0.0,0.0,0.0,0.083,0.665
10,698.0,0.09296131805157593,0.15221655435523776,0.0,0.0,0.013,0.114,0.662
11,683.0,0.07129136163982429,0.12482961419161825,0.0,0.0,0.005,0.0865,0.664
12,541.0,0.09447874306839187,0.15850769934299655,0.0,0.0,0.002,0.126,0.663
