,Valor
count,6490.0
mean,0.1051804314329738
std,0.16299312399747562
min,0.0
25%,0.0
50%,0.014
75%,0.15
max,0.665
trend,decreasing
h,True
p,0.0
z,-9.11841591847036
Tau,-0.07321504853181668
s,-1541675.0
var_s,28585533419.666668
slope,0.0
intercept,0.014
