,Valor,Hora
count,7276.0,7276.0
mean,10.383883864760858,11.449835074216603
std,5.132786312348194,6.922275312745211
min,0.0,0.0
25%,6.2,5.0
50%,9.8,11.0
75%,13.9,17.0
max,25.4,23.0
