,Valor,Dia da Semana
count,7345.0,7345.0
mean,1.1670528250510552,2.984070796460177
std,1.1789493070587738,2.005817257579606
min,0.0,0.0
25%,0.2,1.0
50%,0.8,3.0
75%,1.7,5.0
max,4.552,6.0
