Mes,count,mean,std,min,25%,50%,75%,max
1,462.0,4.955329004329004,2.2937976325641554,0.0,3.2560000000000002,4.2885,6.166,14.449
2,660.0,5.029742424242424,2.473873952149974,1.844,3.2385,4.362500000000001,6.282,22.86
3,658.0,6.259036474164134,3.093558070073065,0.622,4.06925,5.698,7.841,25.0
4,37.0,6.348675675675676,2.2495280993287614,2.288,4.603,6.95,7.421,10.739
5,622.0,16.505305466237942,3.8071236922789176,7.3,12.9,17.1,19.9,25.4
6,696.0,15.983620689655172,3.5464549684109916,9.8,13.8,15.8,17.4,24.8
7,744.0,12.711962365591397,3.369989383576585,4.1,10.6,12.5,14.2,22.6
8,744.0,11.927688172043013,4.044787886816194,2.7,9.1,11.9,16.3,18.7
9,691.0,11.627206946454413,3.759738756998844,1.0,9.0,12.1,13.7,25.2
10,566.0,10.287455830388692,5.278525695281279,0.0,6.2,8.9,15.0,24.2
11,720.0,7.501388888888889,2.608197895144842,2.0,5.6,7.1,9.3,12.7
12,676.0,9.777958579881656,3.3194157412814413,0.8,6.8,9.5,11.9,20.8
