,Valor,Hora
count,6812.0,6812.0
mean,0.14010378743394009,11.479888432178509
std,0.184955198447419,6.986240275063152
min,0.0,0.0
25%,0.0,5.0
50%,0.1,11.5
75%,0.2,18.0
max,0.748,23.0
