,Valor
count,6852.0
mean,0.45262259194395793
std,0.5774387592266753
min,0.0
25%,0.001
50%,0.188
75%,0.7215
max,2.318
trend,no trend
h,False
p,0.18994918910217873
z,-1.310729438657179
Tau,-0.010478483589009083
s,-245946.0
var_s,35208691760.0
slope,0.0
intercept,0.188
