,Valor,Hora
count,7614.0,7614.0
mean,37.42712884160756,11.45679012345679
std,14.154944592165588,6.932934665427359
min,1.918,0.0
25%,28.634999999999998,5.0
50%,37.9815,11.0
75%,47.1,17.0
max,74.2,23.0
