Mes,count,mean,std,min,25%,50%,75%,max
1,393.0,2.9865318066157758,2.5183040514484905,0.038,1.266,2.168,3.964,11.639
2,642.0,2.67804984423676,2.24449426858093,0.091,1.1205,2.043,3.5275,11.965
3,614.0,3.1902964169381107,2.4791164715869045,0.019,1.39175,2.5134999999999996,4.281499999999999,11.969
4,115.0,2.6655304347826085,2.290785632193045,0.114,0.896,1.988,3.8095,9.743
5,598.0,2.6572909698996656,2.580820699512831,0.0,0.58,2.009,3.71075,11.677
6,623.0,3.3081813804173352,2.563143384685416,0.076,1.4169999999999998,2.584,4.6530000000000005,12.006
7,683.0,2.023355783308931,2.4748556575536487,0.0,0.1225,1.252,2.85,11.991
8,627.0,2.8678086124401916,2.3573602496646267,0.0,1.2145000000000001,2.242,3.863,11.216
9,498.0,3.0035763052208835,2.4950621414584524,0.0,1.2535,2.3575,4.104,11.751
10,534.0,5.12662734082397,2.2084526290393325,0.0,4.059,4.79,6.2780000000000005,12.071
11,453.0,5.400132450331126,1.697956096958004,3.199,4.153,4.973,6.247,11.728
12,304.0,3.9289473684210527,3.62674752650128,0.0,0.13799999999999998,3.6075,5.98175,12.097
