Mes,count,mean,std,min,25%,50%,75%,max
1,462.0,23.411316017316018,8.872980114265971,2.935,16.6705,23.174999999999997,30.255,47.734
2,660.0,22.285665151515154,10.266180253037549,2.544,14.746,22.114,28.52,54.777
3,560.0,19.073801785714284,11.72442769466547,0.0,9.1555,19.659,27.21575,61.331
4,109.0,26.13202752293578,18.05059726695158,2.316,12.293,21.496,37.209,69.809
5,689.0,32.342670537010164,10.493867636584007,12.1,25.5,29.6,38.4,61.3
6,720.0,41.309305555555554,7.635105552058062,21.3,36.275,40.1,47.4,59.2
7,744.0,45.93360215053763,6.932914448774023,27.2,40.625,45.9,51.2,60.6
8,737.0,38.263772048846675,7.365419598435051,12.0,32.7,39.4,44.3,50.9
9,689.0,47.586937590711166,10.416874896716,19.0,40.4,46.2,55.1,70.3
10,736.0,44.18192934782609,7.1183092141653175,27.5,38.675000000000004,44.0,49.8,59.5
11,720.0,32.01069444444445,4.972162794503573,19.5,27.7,32.4,34.7,43.8
12,641.0,26.578003120124798,6.620437089516088,10.4,22.7,27.2,29.2,40.0
