,Valor,Hora
count,7345.0,7345.0
mean,1.1670528250510552,11.520353982300884
std,1.1789493070587738,6.888657034229961
min,0.0,0.0
25%,0.2,6.0
50%,0.8,12.0
75%,1.7,17.0
max,4.552,23.0
