Mes,count,mean,std,min,25%,50%,75%,max
1,449.0,4.513240534521158,3.103750624971987,0.0,2.12,4.08,6.284,15.542
2,368.0,4.824663043478261,3.7890436522897795,0.0,1.7802499999999999,4.056,6.568,16.981
3,403.0,4.7101339950372205,3.9332924901215316,0.002,1.6644999999999999,4.043,6.452,17.379
4,118.0,3.6917372881355934,2.923737870521362,0.206,1.832,2.8655,4.5337499999999995,14.233
5,470.0,4.133644680851064,4.476511903990739,0.0,0.02225,3.0815,6.4902500000000005,17.262
6,627.0,4.354511961722488,3.46941602304925,0.115,1.8545,3.522,5.6935,17.284
7,582.0,4.104529209621993,3.3438503904542225,0.06,2.03275,3.184,5.23975,17.147
8,562.0,7.326891459074733,3.7341783931167947,0.627,4.615,6.8055,9.59325,17.364
9,629.0,5.44668839427663,3.290065515611319,0.858,2.901,4.66,7.205,17.221
10,655.0,6.278161832061069,3.961902667591752,0.123,3.027,5.254,8.2345,17.362
11,684.0,6.587614035087719,4.025130402679255,0.99,3.287,5.9115,9.22275,17.393
12,430.0,6.312255813953488,3.8214926305152894,0.801,3.19775,5.9785,8.30425,17.233
