,Valor,Dia da Semana
count,6852.0,6852.0
mean,0.45262259194395793,2.948482194979568
std,0.5774387592266753,2.018843294120742
min,0.0,0.0
25%,0.001,1.0
50%,0.188,3.0
75%,0.7215,5.0
max,2.318,6.0
