Mes,count,mean,std,min,25%,50%,75%,max
1,454.0,8.199821585903084,4.126708710663703,0.0,5.32325,7.285500000000001,9.67375,25.572
2,639.0,8.517596244131456,4.075958699048545,2.803,5.724500000000001,7.268,10.288,25.077
3,625.0,10.8606224,5.3593568352292005,2.412,6.81,9.512,13.856,25.748
4,36.0,10.494916666666667,4.874426057789485,0.0,6.84525,10.104500000000002,13.581249999999999,20.974
5,559.0,11.931881932021467,6.205892833475852,1.646,6.826499999999999,11.38,16.496,25.765
6,655.0,10.512468702290077,5.610821931032561,1.004,6.4094999999999995,9.691,14.103000000000002,25.629
7,714.0,7.8875882352941185,5.45393632606078,0.875,3.8275,6.560499999999999,10.325999999999999,25.712
8,656.0,7.894743902439025,5.831377822205167,0.911,3.1835,6.246,11.182,25.584
9,615.0,7.721764227642277,5.665860878957005,0.794,2.699,6.457,11.3265,24.751
10,577.0,6.590022530329289,5.85243850095647,0.0,2.243,4.331,8.889,25.52
11,714.0,5.335920168067227,4.632610681131179,0.48,1.91225,3.6115,7.29875,25.016
12,596.0,7.686020134228187,5.669000616467589,0.853,3.595,5.8185,9.82575,25.75
