Mes,count,mean,std,min,25%,50%,75%,max
1,454.0,0.8792929515418502,1.239401217348968,0.0,0.0,0.2505,1.3207499999999999,5.307
2,641.0,1.0721950078003122,1.2381864880138367,0.0,0.051,0.696,1.558,5.432
3,620.0,0.8193548387096774,1.1018596982947262,0.0,0.0235,0.4015,1.12975,5.334
4,118.0,0.9746525423728812,1.3585819050654468,0.0,0.0345,0.433,1.1332499999999999,5.374
5,696.0,1.0185344827586207,0.6647452102066488,0.0,0.5,0.9,1.4,3.9
6,675.0,1.3407407407407408,0.9064470942984272,0.0,0.6,1.2,2.0,5.4
7,744.0,2.395295698924731,1.0971844150249626,0.0,1.675,2.3,3.1,5.3
8,726.0,2.5719008264462815,1.090679495170567,0.0,2.0,2.7,3.3,5.4
9,680.0,1.571470588235294,1.7719573600207235,0.0,0.07500000000000001,0.5,3.2,5.4
10,744.0,0.39959677419354833,0.46965793089098323,0.0,0.1,0.2,0.5,2.4
11,720.0,0.4361111111111111,0.5321919288296472,0.0,0.07500000000000001,0.2,0.6,3.0
12,585.0,1.376239316239316,1.520735518744839,0.0,0.3,0.7,1.8,5.4
