,Valor,Dia da Semana
count,7614.0,7614.0
mean,37.42712884160756,2.9757026530076174
std,14.154944592165588,2.0107586953130765
min,1.918,0.0
25%,28.634999999999998,1.0
50%,37.9815,3.0
75%,47.1,5.0
max,74.2,6.0
