,Valor,Hora
count,6852.0,6852.0
mean,0.45262259194395793,11.617046117921774
std,0.5774387592266753,6.795478858539902
min,0.0,0.0
25%,0.001,6.0
50%,0.188,12.0
75%,0.7215,17.0
max,2.318,23.0
