,Valor,Dia da Semana
count,6088.0,6088.0
mean,13.975610545335087,2.975854139290407
std,9.008555069864908,2.02876677345468
min,0.0,0.0
25%,7.5947499999999994,1.0
50%,12.1495,3.0
75%,19.021,5.0
max,40.885,6.0
