,Valor,Hora
count,7014.0,7014.0
mean,16.985040490447677,11.261904761904763
std,7.082561619360854,6.844318810440573
min,0.0,0.0
25%,12.9,5.0
50%,16.4,11.0
75%,21.3,17.0
max,36.155,23.0
