,Valor,Hora
count,6084.0,6084.0
mean,3.2647235371466143,11.500821827744904
std,2.6443520136480343,6.874117591850539
min,0.0,0.0
25%,1.2045000000000001,5.0
50%,2.678,12.0
75%,4.6875,17.0
max,12.097,23.0
