,Valor,Hora
count,6088.0,6088.0
mean,13.975610545335087,11.43988173455979
std,9.008555069864908,6.8714880417426
min,0.0,0.0
25%,7.5947499999999994,5.0
50%,12.1495,12.0
75%,19.021,17.0
max,40.885,23.0
