,Valor
count,7276.0
mean,10.383883864760858
std,5.132786312348194
min,0.0
25%,6.2
50%,9.8
75%,13.9
max,25.4
trend,increasing
h,True
p,0.0
z,10.659836986788106
Tau,0.08333123633883653
s,2205482.0
var_s,42806085507.333336
slope,0.00032340258722069766
intercept,8.623623088984713
