,Valor,Dia da Semana
count,6746.0,6746.0
mean,3.5359964423361996,2.987696412689001
std,3.044768443821049,2.0136663839239777
min,0.0,0.0
25%,1.2542499999999999,1.0
50%,2.673,3.0
75%,5.24275,5.0
max,13.328,6.0
