,Valor,Dia da Semana
count,6084.0,6084.0
mean,3.2647235371466143,3.014628533859303
std,2.6443520136480343,2.042524171469799
min,0.0,0.0
25%,1.2045000000000001,1.0
50%,2.678,3.0
75%,4.6875,5.0
max,12.097,6.0
