,Valor,Dia da Semana
count,6266.0,6266.0
mean,7.818442547079477,2.9972869454197255
std,5.587017705176851,2.0375937594386015
min,0.0,0.0
25%,3.6805,1.0
50%,6.489,3.0
75%,10.84975,5.0
max,24.91,6.0
