,Valor,Hora
count,7467.0,7467.0
mean,34.66527213070845,11.48654077942949
std,12.89140911465055,6.9452085998254045
min,0.0,0.0
25%,26.1,5.0
50%,34.8,11.0
75%,43.8,18.0
max,70.3,23.0
