,Valor
count,7403.0
mean,1.2775476158314198
std,1.3096247416947706
min,0.0
25%,0.2
50%,0.8
75%,2.0
max,5.432
trend,no trend
h,False
p,0.24219577705146222
z,-1.169516053771238
Tau,-0.00905286686648537
s,-248035.0
var_s,44979027255.0
slope,0.0
intercept,0.8
