,Valor,Hora
count,6840.0,6840.0
mean,8.426826169590644,11.39780701754386
std,5.670275909791267,6.956768799187537
min,0.0,0.0
25%,4.0855,5.0
50%,7.066,11.0
75%,11.544,17.0
max,25.765,23.0
