,Valor,Dia da Semana
count,7276.0,7276.0
mean,10.383883864760858,2.9846069268829027
std,5.132786312348194,2.0077607494210024
min,0.0,0.0
25%,6.2,1.0
50%,9.8,3.0
75%,13.9,5.0
max,25.4,6.0
