,Valor,Dia da Semana
count,6490.0,6490.0
mean,0.1051804314329738,2.926964560862866
std,0.16299312399747562,2.01700969873805
min,0.0,0.0
25%,0.0,1.0
50%,0.014,3.0
75%,0.15,5.0
max,0.665,6.0
