,Valor,Hora
count,7403.0,7403.0
mean,1.2775476158314198,11.404565716601377
std,1.3096247416947706,6.935466276476284
min,0.0,0.0
25%,0.2,5.0
50%,0.8,11.0
75%,2.0,17.0
max,5.432,23.0
