,Valor,Dia da Semana
count,7014.0,7014.0
mean,16.985040490447677,2.9693470202452237
std,7.082561619360854,2.0069183637823294
min,0.0,0.0
25%,12.9,1.0
50%,16.4,3.0
75%,21.3,5.0
max,36.155,6.0
