Mes,count,mean,std,min,25%,50%,75%,max
1,331.0,0.058302114803625384,0.133066442603044,0.0,0.0,0.0,0.035,0.737
2,485.0,0.10429278350515465,0.17571905653053085,0.0,0.0,0.006,0.143,0.748
3,470.0,0.09665319148936172,0.17397157127644147,0.0,0.0,0.0,0.111,0.733
4,94.0,0.08808510638297874,0.17176475908627784,0.0,0.0,0.0,0.0695,0.695
5,669.0,0.1391629297458894,0.13687012092120243,0.0,0.1,0.1,0.2,0.7
6,598.0,0.1770903010033445,0.20264638245274028,0.0,0.0,0.1,0.3,0.7
7,704.0,0.21519886363636365,0.21569752595106312,0.0,0.0,0.1,0.4,0.7
8,744.0,0.076747311827957,0.11903452169353965,0.0,0.0,0.0,0.1,0.6
9,720.0,0.05027777777777778,0.08119367155779686,0.0,0.0,0.0,0.1,0.4
10,728.0,0.2228021978021978,0.21594449945583655,0.0,0.0,0.1,0.4,0.7
11,674.0,0.14451038575667655,0.18775552544800148,0.0,0.0,0.0,0.3,0.7
12,595.0,0.21411764705882355,0.21249445136232195,0.0,0.0,0.1,0.3,0.7
