,Valor
count,6088.0
mean,13.975610545335087
std,9.008555069864908
min,0.0
25%,7.5947499999999994
50%,12.1495
75%,19.021
max,40.885
trend,increasing
h,True
p,5.222489107836736e-13
z,7.2193895540770665
Tau,0.06170168992879636
s,1143260.0
var_s,25077734746.0
slope,0.000419186155021398
intercept,10.873706937192376
