,Valor,Hora
count,7325.0,7325.0
mean,1.1684050511945394,11.517952218430034
std,1.185727577452714,6.889695101481724
min,0.0,0.0
25%,0.2,6.0
50%,0.8,12.0
75%,1.7,17.0
max,4.64,23.0
