,Valor,Dia da Semana
count,6812.0,6812.0
mean,0.14010378743394009,3.001614797416324
std,0.184955198447419,1.9920183648605319
min,0.0,0.0
25%,0.0,1.0
50%,0.1,3.0
75%,0.2,5.0
max,0.748,6.0
