,Valor,Dia da Semana
count,6673.0,6673.0
mean,9.175105349917578,3.011838753184475
std,5.82029271890803,2.007930348231254
min,0.0,0.0
25%,4.797,1.0
50%,8.9,3.0
75%,13.0,5.0
max,24.8,6.0
