,Valor,Dia da Semana
count,5977.0,5977.0
mean,5.366192404216162,2.9887903630583903
std,3.8761448337505877,2.0273501804252847
min,0.0,0.0
25%,2.426,1.0
50%,4.548,3.0
75%,7.423,5.0
max,17.393,6.0
