,Valor
count,5977.0
mean,5.366192404216162
std,3.8761448337505877
min,0.0
25%,2.426
50%,4.548
75%,7.423
max,17.393
trend,increasing
h,True
p,0.0
z,17.69513016877608
Tau,0.15263289508488473
s,2725913.0
var_s,23731005474.333332
slope,0.0004538587267009445
intercept,3.191870124617578
