,Valor
count,6746.0
mean,3.5359964423361996
std,3.044768443821049
min,0.0
25%,1.2542499999999999
50%,2.673
75%,5.24275
max,13.328
trend,decreasing
h,True
p,0.0
z,-16.96881766597222
Tau,-0.1377680912193086
s,-3134346.0
var_s,34118539300.0
slope,-0.00025048828124999995
intercept,3.517771728515625
