,Valor,Dia da Semana
count,6840.0,6840.0
mean,8.426826169590644,2.9859649122807017
std,5.670275909791267,2.0161162564938144
min,0.0,0.0
25%,4.0855,1.0
50%,7.066,3.0
75%,11.544,5.0
max,25.765,6.0
