,Valor
count,7345.0
mean,1.1670528250510552
std,1.1789493070587738
min,0.0
25%,0.2
50%,0.8
75%,1.7
max,4.552
trend,decreasing
h,True
p,0.0
z,-43.164741540122954
Tau,-0.33535403420879734
s,-9044780.0
var_s,43907390806.0
slope,-0.00024084778420038535
intercept,1.6843930635838151
