,Valor
count,6266.0
mean,7.818442547079477
std,5.587017705176851
min,0.0
25%,3.6805
50%,6.489
75%,10.84975
max,24.91
trend,increasing
h,True
p,0.0
z,14.552295190959669
Tau,0.12259297761975153
s,2406285.0
var_s,27342031241.0
slope,0.0004947775628626692
intercept,4.939109284332689
