,Valor
count,7014.0
mean,16.985040490447677
std,7.082561619360854
min,0.0
25%,12.9
50%,16.4
75%,21.3
max,36.155
trend,decreasing
h,True
p,1.7277290709216686e-12
z,-7.0548661466438825
Tau,-0.05617190381413539
s,-1381525.0
var_s,38347699141.666664
slope,-0.0002840909090909081
intercept,17.396164772727268
