,Valor
count,7614.0
mean,37.42712884160756
std,14.154944592165588
min,1.918
25%,28.634999999999998
50%,37.9815
75%,47.1
max,74.2
trend,increasing
h,True
p,0.0
z,24.69997869713892
Tau,0.18875393592679163
s,5470597.0
var_s,49054192361.666664
slope,0.002038310412573675
intercept,30.222671414538304
