,Valor,Dia da Semana
count,7467.0,7467.0
mean,34.66527213070845,2.9768313914557387
std,12.89140911465055,2.0048491920120086
min,0.0,0.0
25%,26.1,1.0
50%,34.8,3.0
75%,43.8,5.0
max,70.3,6.0
