,Valor,Hora
count,6746.0,6746.0
mean,3.5359964423361996,11.43640675956122
std,3.044768443821049,6.975794414214943
min,0.0,0.0
25%,1.2542499999999999,5.0
50%,2.673,12.0
75%,5.24275,17.0
max,13.328,23.0
