,Valor
count,6084.0
mean,3.2647235371466143
std,2.6443520136480343
min,0.0
25%,1.2045000000000001
50%,2.678
75%,4.6875
max,12.097
trend,increasing
h,True
p,0.0
z,16.54677853330924
Tau,0.14146223785951148
s,2617686.0
var_s,25026946218.0
slope,0.00031033095250238214
intercept,1.7341284079640047
