,Valor
count,7467.0
mean,34.66527213070845
std,12.89140911465055
min,0.0
25%,26.1
50%,34.8
75%,43.8
max,70.3
trend,increasing
h,True
p,0.0
z,22.62407117893039
Tau,0.17458433322351896
s,4866418.0
var_s,46267616186.0
slope,0.0017095087163232962
intercept,28.418403961965133
