,Valor
count,6673.0
mean,9.175105349917578
std,5.82029271890803
min,0.0
25%,4.797
50%,8.9
75%,13.0
max,24.8
trend,increasing
h,True
p,0.0
z,18.903139582848098
Tau,0.15430597227597811
s,3435025.0
var_s,33021110087.0
slope,0.0007955347700058114
intercept,6.246096007260613
