,Valor,Hora
count,6490.0,6490.0
mean,0.1051804314329738,11.469183359013867
std,0.16299312399747562,6.8626794131268
min,0.0,0.0
25%,0.0,6.0
50%,0.014,11.0
75%,0.15,17.0
max,0.665,23.0
