,Valor,Hora
count,6673.0,6673.0
mean,9.175105349917578,11.454368350067435
std,5.82029271890803,6.92396564363241
min,0.0,0.0
25%,4.797,5.0
50%,8.9,11.0
75%,13.0,17.0
max,24.8,23.0
