,Valor
count,7325.0
mean,1.1684050511945394
std,1.185727577452714
min,0.0
25%,0.2
50%,0.8
75%,1.7
max,4.64
trend,decreasing
h,True
p,0.0
z,-43.026457487936995
Tau,-0.334731874076159
s,-8978898.0
var_s,43548660179.333336
slope,-0.00024048096192384773
intercept,1.6806412825651305
