,Valor,Dia da Semana
count,7403.0,7403.0
mean,1.2775476158314198,2.9859516412265297
std,1.3096247416947706,2.0097216765839674
min,0.0,0.0
25%,0.2,1.0
50%,0.8,3.0
75%,2.0,5.0
max,5.432,6.0
