,Valor,Dia da Semana
count,7325.0,7325.0
mean,1.1684050511945394,2.994948805460751
std,1.185727577452714,2.0050732047051016
min,0.0,0.0
25%,0.2,1.0
50%,0.8,3.0
75%,1.7,5.0
max,4.64,6.0
