,Valor
count,6840.0
mean,8.426826169590644
std,5.670275909791267
min,0.0
25%,4.0855
50%,7.066
75%,11.544
max,25.765
trend,decreasing
h,True
p,0.0
z,-21.55221620175531
Tau,-0.17377361007431577
s,-4064457.0
var_s,35564850119.0
slope,-0.0006180229192286883
intercept,9.1793293723025
