,Valor,Hora
count,5977.0,5977.0
mean,5.366192404216162,11.538731805253471
std,3.8761448337505877,6.910709966916181
min,0.0,0.0
25%,2.426,5.0
50%,4.548,12.0
75%,7.423,17.0
max,17.393,23.0
